Marker	Ch1
0	17A6C
0	5520B
0	32215
0	9B05D
0	17FEC
0	32560
0	3933F
0	9A801
0	55190
0	32C9F
0	9B592
0	1854F
0	32B89
0	38695
0	9ADCA
0	54B1C
0	33620
0	9ADC4
0	1852D
0	54355
0	37D8F
0	9B561
0	5443A
0	33EDF
0	9AE28
0	189D0
0	5380D
0	370AB
0	9B999
0	53B31
0	34450
0	35F38
0	18B17
0	530D9
0	35C31
0	9B615
0	532D
0	34D99
0	35760
0	19288
0	5300A
0	35060
0	9C50B
0	1982B
0	3551C
0	34BB2
0	19892
0	528BF
0	3615F
0	9C9A3
0	19D72
0	35FE9
0	33F78
0	19E39
0	51D02
0	36963
0	9CECE
0	1A35F
0	36B56
0	33557
0	1A517
0	51A0E
0	378AF
0	9DD86
0	1AA0F
0	37909
0	32829
0	1AAFC
0	5167A
0	C00000
0	9E7A8
0	1B3B6
0	385F7
0	31593
0	1B2F1
0	50F76
0	31077
0	9F15A
0	1BCE0
0	39407
0	3056A
0	1C127
0	50558
0	30590
0	9FB57
0	50218
0	3A00F
0	2FB90
0	1C5C3
0	4FE02
0	30227
0	A08A6
0	4FC1E
0	3AF75
0	9F914
0	1CDE9
0	4F121
0	2FD1C
0	A11A1
0	4F135
0	3B976
0	9FADA
0	1D621
0	C00000
0	2EAC5
0	A1576
0	4EACE
0	3CE68
0	A0715
0	1E256
0	3C9B1
0	2D1A7
0	1DF78
0	4E15E
0	3D9E8
0	A13AF
0	1EC34
0	3DA3A
0	2C440
0	1EBE1
0	4D48B
0	C00000
0	A10C1
0	1F714
0	3E194
0	2AF6E
0	1F700
0	4D11B
0	2AEA2
0	A1DB0
0	4C0CB
0	3F17C
0	2A3FB
0	20175
0	4BFF9
0	29C44
0	A1A3E
0	4BCB1
0	4018F
0	29505
0	20798
0	4B29C
0	2A11E
0	A2CE6
0	4B221
0	40E93
0	A159F
0	2174E
0	40D8D
0	29145
0	A2A2D
0	4A98A
0	41C1A
0	A15D8
0	22089
0	4184C
0	27EF0
0	2221C
0	49954
0	4219B
0	A1FD1
0	22B4D
0	424A3
0	274FD
0	2298B
