Marker	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8
1	5FB1B	4B7BB	48ADE	59B9E	114BB	E6C4	82BA	8546
1	1A9DA	2448B	257B8	1C7E4	1AC29	19E5A	172A5	17052
1	60FA5	8660B	8BF91	67FCB	610F2	5D81D	537EB	5280D
1	CF59	10EBC	11B77	D9B1	B30F	ABAA	9601	9392
1	85AB7	6A534	67818	7D97D	1926B	14FB6	BC76	C078
1	62872	4DC5B	4AFCC	5C6DE	11C57	ED1F	8639	8939
1	19BCC	2319B	2435E	1B926	19E28	19095	165ED	163A4
1	612ED	86C31	8C428	68780	1	A8E202	2FF202	4A8401
1	83EFB	68FA9	6617A	7BF7D	18D84	14C51	BA7A	BDE6
1	64B12	4F7AA	4C8D6	5E735	123F8	F382	89E7	8C8D
1	1881C	21669	22875	1A387	188E8	17C6F	15390	151C5
1	60D8C	8637C	8BE41	67CF2	60D6F	5D57D	533E3	52515
1	DA99	12248	1303E	E680	C384	BBD5	A4B8	A22D
1	81A77	67217	6444A	79CBC	18690	14650	B6B5	B9E5
1	6648A	50B80	4DBCB	5FEB2	12865	F711	8BB1	8E82
1	187BF	2130F	223E0	1A2E7	1888E	17C1F	15431	1524B
1	6271E	8816A	8DA11	6986A	628DB	5EFB9	54DFE	53E38
1	E0AF	12C1F	13A78	ED73	CC0A	C405	AC72	A9B4
1	806AE	6622F	63883	78B60	182AA	142BD	B4F5	B8DC
1	69377	52F9F	50116	62B71	1306E	FDF8	8FEE	930B
1	17031	1F529	204E3	1899A	16FB1	163FF	13DCC	13BD6
1	618A4	874B9	8CD5A	688F2	619A5	5E0A9	53EB8	52E8F
1	E7ED	138AB	147F2	F5AB	D5D5	CD66	B4DD	B1FD
1	7DE0D	64501	61A44	764FD	17BB6	13BD7	B11D	B441
1	6B0DB	548A7	517DF	646B5	1364C	10205	925F	9504
1	16BA3	1EC5E	1FC21	184A5	16A8E	15F2E	13945	137BD
1	62D6E	88C78	8E6AE	69F30	62E39	5F55A	55058	5410D
1	F019	14556	1552B	FEAA	DFF3	D76B	BDD2	BADF
1	7BCCE	62B55	6004D	745EB	176EB	1393F	AF34	B224
