Marker	Ch1
1       19770
1       70202
1       54E5E
1       69318
1       18501
1       1D35C
1       52CA2
1       1781A
1       6FA8A
1       4E71C
1       6FF2B
1       6EA12
1       216CA
1       4BA50
1       160F2
1       6EB3C
1       477EA
1       75259
1       6D3EB
1       2642E
1       44A02
1       151E7
1       6C5E0
1       3FD06
1       7A174
1       6A9BD
1       2B141
1       3DD4E
1       14F2B
1       6993B
1       390E3
1       7E640
1       6756E
1       301B2
1       371CF
1       154A1
1       6645C
1       32117
1       82499
1       63C17
1       35D2A
1       85BC5
1       167AF
1       62113
1       2D347
1       85EF6
1       5FD1C
1       3B635
1       88BFC
1       18221
1       5E02C
1       27D61
1       889D1
1       5B084
1       40CAC
1       8AF25
1       1A9EF
1       58F8A
1       21D3E
1       89083
1       56456
1       46DE4
1       8BCD2
1       1DA38
1       49F36
1       1D81D
1       89461
1       5151B
1       4C37A
1       8BD34
1       2154B
1       4F9B9
1       1A5A1
1       89835
1       4B9E3
1       50B2C
1       8AAC7
1       25F4D
1       54C93
1       1797E
1       285E6
1       46510
1       563C8
1       8872B
1       2AD0E
1       59BFE
1       152C8
1       2D4EE
1       40C8F
1       5B56B
1       85A21
1       304A7
1       5E5EB
1       13063
1       3341C
1       3B41A
1       12BCA
1       82E8C
1       37102
1       626FF
1       1204D
1       395E7
1       35C45
1       11B0B
1       7E583
1       3D25A
1       663E4
1       11685
1       3FDDC
1       30B04
1       11A2E
1       7988F
1       436F6
1       69634
1       11806
1       46B6B
1       2B993
1       11E43
1       7421C
0       8A938
0       1F468
0       51A0A
0       1D6BF
0       8AF40
0       4E89D
0       4ED09
0       1B749
0       239B2
0       4B809
0       198E8
0       8A318
0       25B18
0       549CB
0       17CF8
0       28835
0       461BE
0       56627
0       88A64
0       2B2C4
0       59EB4
0       14D45
0       8597C
0       4054F
0       5B058
0       856FD
0       30DA5
0       3D761
0       134A1
0       835C8
0       3B21E
0       60C0A
0       1294D
0       3794D
0       37DA3
0       12160
0       7FA2E
0       3AA8B
0       653C8
0       11BFF
0       3DA11
0       32274
0       117ED
0       7B033
0       2F
0       69170
0       11996
0       44AE9
0       2CBD4
0       11BD5
0       760FC
0       C00000
0       6BF14
0       1247B
0       4C98F
0       27C96
0       12D26
0       6FE35
0       259FD
0       6E725
0       13787
0       53813
0       23236
0       146A0
0       693E9
0       20ED8
0       6FB9F
0       157A9
0       5A706
0       1EB27
0       1680E
0       62909
0       1CE51
0       70538
0       184BC
0       614D5
0       1B4E8
0       19759
0       5B203
0       1A0CB
0       705C5
0       1B739
0       68573
0       18AB9
0       1D053
0       53E9A
0       17CB6
0       6FC2F
0       4EB71
0       6F0D3
0       16C4A
0       20F22
0       4C6D4
0       16239
0       6E6DE
0       47E10
0       74F1B
0       1569D
0       25EAC
0       44CBE
0       1538B
0       6C48F
0       40A13
0       7A671
0       14C10
0       2B75D
0       3D86B
0       14AEA
0       6920B
0       3864E
0       7EE42
0       67589
0       31068
0       366FD
0       1546C
0       65BE0
0       32007
0       8301E
0       63494
0       36AC1
0       8611F
0       168AC
0       616E1
0       2CD39
0       86EA0
0       5EE20
0       3CAAB
0       89658
0       18BCB
0       5CE67
0       256FF
0       882BA
0       5A12F
0       42A61
0       8B625
0       1B610
0       E00000
0       208D2
0       8950F
0       54D39
0       47E53
0       8BF38
0       1EE25
0       52F00
0       1CBF3
0       8A0ED
0       4F600
0       4E1BE
0       8B4CD
0       22C33
0       4CC6C
0       19330
0       89554
0       49CD4
0       53BCD
0       8A74C
0       28579
0       56E65
0       163CE
